alias,canonical
171er,Er-171
171tm,Tm-171
172Hf,Hf-172
172Lu,Lu-172
172hf,Hf-172
172lu,Lu-172
173Lu,Lu-173
173lu,Lu-173
174Lu,Lu-174
174Lu(m),Lu-174m
174LuM,Lu-174m
174Lum,Lu-174m
174lu,Lu-174
174lu(m),Lu-174m
174lum,Lu-174m
175Hf,Hf-175
175Yb,Yb-175
175hf,Hf-175
175yb,Yb-175
177Lu,Lu-177
177lu,Lu-177
178W,W-178
178w,W-178
179Ta,Ta-179
179ta,Ta-179
181Hf,Hf-181
181W,W-181
181hf,Hf-181
181w,W-181
182Hf,Hf-182
182Ta,Ta-182
182hf,Hf-182
182ta,Ta-182
184Re,Re-184
184Re(m),Re-184m
184ReM,Re-184m
184Rem,Re-184m
184re,Re-184
184re(m),Re-184m
184rem,Re-184m
185Os,Os-185
185W,W-185
185os,Os-185
185w,W-185
186Re,Re-186
186re,Re-186
187Re,Re-187
187W,W-187
187re,Re-187
187w,W-187
188Pt,Pt-188
188Re,Re-188
188W,W-188
188pt,Pt-188
188re,Re-188
188w,W-188
189Ir,Ir-189
189Re,Re-189
189ir,Ir-189
189re,Re-189
18F,F-18
18f,F-18
190Ir,Ir-190
190ir,Ir-190
191Os,Os-191
191Os(m),Os-191m
191OsM,Os-191m
191Osm,Os-191m
191Pt,Pt-191
191os,Os-191
191os(m),Os-191m
191osm,Os-191m
191pt,Pt-191
192Ir,Ir-192
192ir,Ir-192
193Au,Au-193
193Os,Os-193
193Pt,Pt-193
193Pt(m),Pt-193m
193PtM,Pt-193m
193Ptm,Pt-193m
193au,Au-193
193os,Os-193
193pt,Pt-193
193pt(m),Pt-193m
193ptm,Pt-193m
194Au,Au-194
194Hg,Hg-194
194Ir,Ir-194
194Os,Os-194
194au,Au-194
194hg,Hg-194
194ir,Ir-194
194os,Os-194
195Au,Au-195
195Hg(m),Hg-195m
195HgM,Hg-195m
195Hgm,Hg-195m
195Pt(m),Pt-195m
195PtM,Pt-195m
195Ptm,Pt-195m
195au,Au-195
195hg(m),Hg-195m
195hgm,Hg-195m
195pt(m),Pt-195m
195ptm,Pt-195m
197Hg,Hg-197
197Hg(m),Hg-197m
197HgM,Hg-197m
197Hgm,Hg-197m
197Pt,Pt-197
197Pt(m),Pt-197m
197PtM,Pt-197m
197Ptm,Pt-197m
197hg,Hg-197
197hg(m),Hg-197m
197hgm,Hg-197m
197pt,Pt-197
197pt(m),Pt-197m
197ptm,Pt-197m
198Au,Au-198
198au,Au-198
199Au,Au-199
199au,Au-199
200Tl,Tl-200
200tl,Tl-200
201Pb,Pb-201
201Tl,Tl-201
201pb,Pb-201
201tl,Tl-201
202Pb,Pb-202
202Tl,Tl-202
202pb,Pb-202
202tl,Tl-202
203Hg,Hg-203
203Pb,Pb-203
203hg,Hg-203
203pb,Pb-203
204Tl,Tl-204
204tl,Tl-204
205Bi,Bi-205
205Pb,Pb-205
205bi,Bi-205
205pb,Pb-205
206Bi,Bi-206
206bi,Bi-206
207Bi,Bi-207
207bi,Bi-207
210Bi,Bi-210
210Bi(m),Bi-210m
210BiM,Bi-210m
210Bim,Bi-210m
210Po,Po-210
210bi,Bi-210
210bi(m),Bi-210m
210bim,Bi-210m
210po,Po-210
211At,At-211
211at,At-211
225Ac,Ac-225
225Ra,Ra-225
225ac,Ac-225
225ra,Ra-225
227Ac,Ac-227
227Th,Th-227
227ac,Ac-227
